device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
871,2017-06-20 04:27:27,0,3.4674,Pecking,0.35,52.8971353,2.6157668,1,25.2,2025-06-05 14:00:00,45_best
871,2017-06-20 04:27:27,20,3.4674,Pecking,0.45,52.8971353,2.6157668,1,25.2,2025-06-05 14:00:00,45_best
871,2017-06-20 04:32:20,0,2.8117,TerLoco,0.34,52.8927415,2.6232328,2,26.5,2025-06-05 14:00:00,45_best
871,2017-06-20 04:32:20,20,2.8117,TerLoco,0.52,52.8927415,2.6232328,2,26.5,2025-06-05 14:00:00,45_best
871,2017-06-20 04:37:18,0,4.0296,TerLoco,0.45,52.8859411,2.6228596,0,26.5,2025-06-05 14:00:00,45_best
871,2017-06-20 04:37:18,20,4.0296,TerLoco,0.70,52.8859411,2.6228596,0,26.5,2025-06-05 14:00:00,45_best
871,2017-06-20 04:42:10,0,2.7769,SitStand,0.58,52.8802804,2.6174528,0,28.6,2025-06-05 14:00:00,45_best
871,2017-06-20 04:42:10,20,2.7769,SitStand,0.36,52.8802804,2.6174528,0,28.6,2025-06-05 14:00:00,45_best
871,2017-06-20 04:47:10,0,2.0980,Boat,0.97,52.8737818,2.6172096,8,29.7,2025-06-05 14:00:00,45_best
871,2017-06-20 04:47:10,20,2.0980,Boat,0.85,52.8737818,2.6172096,8,29.7,2025-06-05 14:00:00,45_best
871,2017-06-20 04:52:01,0,2.4183,Boat,0.97,52.8675904,2.6207036,3,28.3,2025-06-05 14:00:00,45_best
871,2017-06-20 04:52:01,20,2.4183,Boat,0.95,52.8675904,2.6207036,3,28.3,2025-06-05 14:00:00,45_best
871,2017-06-20 04:56:47,0,2.3565,Boat,0.95,52.8616917,2.6252139,7,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 04:56:47,20,2.3565,Boat,0.95,52.8616917,2.6252139,7,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 05:01:41,0,2.3366,Boat,0.97,52.8556378,2.6296800,7,27.3,2025-06-05 14:00:00,45_best
871,2017-06-20 05:06:43,0,2.4052,Boat,0.95,52.8491092,2.6332010,4,27.2,2025-06-05 14:00:00,45_best
871,2017-06-20 05:06:43,20,2.4052,Boat,0.94,52.8491092,2.6332010,4,27.2,2025-06-05 14:00:00,45_best
871,2017-06-20 05:11:44,0,2.7502,Boat,0.97,52.8424256,2.6352063,8,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 05:11:44,20,2.7502,Boat,0.93,52.8424256,2.6352063,8,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 05:16:33,0,2.5153,Boat,0.89,52.8359938,2.6370971,6,27.7,2025-06-05 14:00:00,45_best
871,2017-06-20 05:16:33,20,2.5153,Boat,0.83,52.8359938,2.6370971,6,27.7,2025-06-05 14:00:00,45_best
871,2017-06-20 05:21:18,0,2.5742,Boat,0.96,52.8296349,2.6389472,9,28.3,2025-06-05 14:00:00,45_best
871,2017-06-20 05:21:18,20,2.5742,Boat,0.96,52.8296349,2.6389472,9,28.3,2025-06-05 14:00:00,45_best
871,2017-06-20 05:26:06,0,2.5139,Boat,0.96,52.8232726,2.6407566,4,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 05:26:06,20,2.5139,Boat,0.95,52.8232726,2.6407566,4,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 05:31:00,0,2.1689,Boat,0.95,52.8166568,2.6422224,8,28.5,2025-06-05 14:00:00,45_best
871,2017-06-20 05:31:00,20,2.1689,Boat,0.95,52.8166568,2.6422224,8,28.5,2025-06-05 14:00:00,45_best
871,2017-06-20 05:36:01,0,2.0572,Boat,0.61,52.8097882,2.6437832,23,28.2,2025-06-05 14:00:00,45_best
871,2017-06-20 05:36:01,20,2.0572,Boat,0.63,52.8097882,2.6437832,23,28.2,2025-06-05 14:00:00,45_best
871,2017-06-20 05:41:06,0,2.3258,Boat,0.94,52.8030622,2.6452402,5,28.8,2025-06-05 14:00:00,45_best
871,2017-06-20 05:41:06,20,2.3258,Boat,0.94,52.8030622,2.6452402,5,28.8,2025-06-05 14:00:00,45_best
871,2017-06-20 05:46:07,0,2.6192,Soar,0.96,52.7962025,2.6467861,8,29.6,2025-06-05 14:00:00,45_best
871,2017-06-20 05:46:07,20,2.6192,Soar,0.99,52.7962025,2.6467861,8,29.6,2025-06-05 14:00:00,45_best
871,2017-06-20 05:50:52,0,1.6744,Boat,0.89,52.7904994,2.6477680,-1,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 05:50:52,20,1.6744,Boat,0.87,52.7904994,2.6477680,-1,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 05:55:42,0,3.5186,Boat,0.90,52.7863617,2.6474371,0,27.9,2025-06-05 14:00:00,45_best
871,2017-06-20 05:55:42,20,3.5186,Boat,0.69,52.7863617,2.6474371,0,27.9,2025-06-05 14:00:00,45_best
871,2017-06-20 06:00:30,0,1.9097,Boat,0.96,52.7788280,2.6510621,5,26.8,2025-06-05 14:00:00,45_best
871,2017-06-20 06:00:30,20,1.9097,Boat,0.87,52.7788280,2.6510621,5,26.8,2025-06-05 14:00:00,45_best
871,2017-06-20 06:05:20,0,2.0035,Boat,0.93,52.7721852,2.6540511,11,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 06:05:20,20,2.0035,Boat,0.89,52.7721852,2.6540511,11,28.1,2025-06-05 14:00:00,45_best
871,2017-06-20 06:10:06,0,2.8827,Flap,0.99,52.7662367,2.6567006,4,30.1,2025-06-05 14:00:00,45_best
871,2017-06-20 06:10:06,20,2.8827,Flap,0.98,52.7662367,2.6567006,4,30.1,2025-06-05 14:00:00,45_best
871,2017-06-20 06:14:53,0,2.4676,Boat,0.86,52.7606953,2.6534201,1,27.8,2025-06-05 14:00:00,45_best
871,2017-06-20 06:14:53,20,2.4676,Boat,0.86,52.7606953,2.6534201,1,27.8,2025-06-05 14:00:00,45_best
871,2017-06-20 06:24:33,0,2.5673,Boat,0.97,52.7667319,2.6364499,5,28.0,2025-06-05 14:00:00,45_best
871,2017-06-20 06:24:33,20,2.5673,Boat,0.98,52.7667319,2.6364499,5,28.0,2025-06-05 14:00:00,45_best
871,2017-06-20 06:29:17,0,2.6269,Boat,0.95,52.7722170,2.6309248,2,28.2,2025-06-05 14:00:00,45_best
871,2017-06-20 06:29:17,20,2.6269,Boat,0.95,52.7722170,2.6309248,2,28.2,2025-06-05 14:00:00,45_best
871,2017-06-20 06:34:05,0,2.7346,Pecking,0.42,52.7786220,2.6297146,7,28.0,2025-06-05 14:00:00,45_best
871,2017-06-20 06:34:05,20,2.7346,Boat,0.83,52.7786220,2.6297146,7,28.0,2025-06-05 14:00:00,45_best
871,2017-06-20 06:38:51,0,2.4210,Boat,0.95,52.7850511,2.6307512,4,26.7,2025-06-05 14:00:00,45_best
871,2017-06-20 06:38:51,20,2.4210,Boat,0.94,52.7850511,2.6307512,4,26.7,2025-06-05 14:00:00,45_best
871,2017-06-20 06:43:41,0,2.8422,Boat,0.92,52.7916381,2.6312606,2,27.9,2025-06-05 14:00:00,45_best
871,2017-06-20 06:43:41,20,2.8422,Boat,0.88,52.7916381,2.6312606,2,27.9,2025-06-05 14:00:00,45_best
871,2017-06-20 06:48:34,0,2.5382,Boat,0.96,52.7982259,2.6313522,5,27.5,2025-06-05 14:00:00,45_best
871,2017-06-20 06:48:34,20,2.5382,Boat,0.97,52.7982259,2.6313522,5,27.5,2025-06-05 14:00:00,45_best
871,2017-06-20 06:53:39,0,10.7689,Flap,1.00,52.8113082,2.6225545,13,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 06:53:39,20,10.7689,Flap,1.00,52.8113082,2.6225545,13,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 06:58:43,0,2.4620,Boat,0.92,52.8228067,2.6143637,5,26.8,2025-06-05 14:00:00,45_best
871,2017-06-20 06:58:43,20,2.4620,Boat,0.96,52.8228067,2.6143637,5,26.8,2025-06-05 14:00:00,45_best
871,2017-06-20 07:03:44,0,2.1766,Boat,0.94,52.8175614,2.6209473,6,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 07:03:44,20,2.1766,Boat,0.90,52.8175614,2.6209473,6,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 07:08:29,0,8.9864,Flap,0.99,52.8199491,2.6238341,17,29.7,2025-06-05 14:00:00,45_best
871,2017-06-20 07:08:29,20,8.9864,Flap,0.99,52.8199491,2.6238341,17,29.7,2025-06-05 14:00:00,45_best
871,2017-06-20 07:13:23,0,2.7995,Boat,0.94,52.8313753,2.6203375,3,27.8,2025-06-05 14:00:00,45_best
871,2017-06-20 07:13:23,20,2.7995,Boat,0.93,52.8313753,2.6203375,3,27.8,2025-06-05 14:00:00,45_best
871,2017-06-20 07:18:22,0,3.0635,Boat,0.93,52.8380343,2.6188119,6,29.2,2025-06-05 14:00:00,45_best
871,2017-06-20 07:18:22,20,3.0635,Boat,0.87,52.8380343,2.6188119,6,29.2,2025-06-05 14:00:00,45_best
871,2017-06-20 07:23:08,0,2.0761,Boat,0.85,52.8434034,2.6131534,18,29.1,2025-06-05 14:00:00,45_best
871,2017-06-20 07:23:08,20,2.0761,Boat,0.75,52.8434034,2.6131534,18,29.1,2025-06-05 14:00:00,45_best
871,2017-06-20 07:27:56,0,2.8295,Boat,0.94,52.8488152,2.6067995,-10,29.2,2025-06-05 14:00:00,45_best
871,2017-06-20 07:27:56,20,2.8295,Boat,0.94,52.8488152,2.6067995,-10,29.2,2025-06-05 14:00:00,45_best
871,2017-06-20 07:32:55,0,3.7856,Soar,0.49,52.8543814,2.6001926,-12,30.1,2025-06-05 14:00:00,45_best
871,2017-06-20 07:32:55,20,3.7856,Boat,0.90,52.8543814,2.6001926,-12,30.1,2025-06-05 14:00:00,45_best
871,2017-06-20 07:38:00,0,7.7965,Flap,0.99,52.8598992,2.5866105,-8,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 07:38:00,20,7.7965,Flap,1.00,52.8598992,2.5866105,-8,28.9,2025-06-05 14:00:00,45_best
871,2017-06-20 07:48:37,0,2.6878,Boat,0.94,52.8717001,2.5798476,7,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 07:48:37,20,2.6878,Boat,0.92,52.8717001,2.5798476,7,29.0,2025-06-05 14:00:00,45_best
871,2017-06-20 07:58:22,0,8.5192,Flap,1.00,52.8945463,2.5866775,-1,28.4,2025-06-05 14:00:00,45_best
871,2017-06-20 07:58:22,20,8.5192,Flap,0.99,52.8945463,2.5866775,-1,28.4,2025-06-05 14:00:00,45_best
871,2017-06-20 08:03:08,0,2.2472,Boat,0.95,52.9018985,2.6117000,2,26.6,2025-06-05 14:00:00,45_best
