534,2016-06-10 16:59:02,2016-06-10 21:27:50
5393,2016-06-10 17:35:02,2016-06-10 23:20:04
5391,2016-07-03 09:24:56,2016-07-03 16:25:17
871,2017-04-21 05:25:45,2017-04-21 09:38:16
871,2017-06-20 04:27:27,2017-06-20 11:28:06
5391,2018-05-10 13:43:59,2018-05-10 20:18:04
871,2018-05-25 07:21:37,2018-05-25 11:44:34
5416,2018-05-29 07:30:42,2018-05-29 09:54:56
5689,2018-06-05 02:49:04,2018-06-05 05:31:29
5687,2018-06-05 11:04:43,2018-06-05 16:49:13
5694,2018-06-08 02:28:29,2018-06-08 06:26:36.000001
5689,2018-06-09 13:55:33,2018-06-09 20:42:55
5689,2018-06-10 09:12:31,2018-06-10 11:46:38
5694,2018-06-11 12:56:13,2018-06-11 18:36:44
5689,2018-06-18 17:56:48,2018-06-18 22:53:35
5694,2018-06-19 08:05:35,2018-06-19 12:12:46
5694,2018-06-23 06:09:29,2018-06-23 14:56:36
5687,2018-06-25 04:52:39,2018-06-26 08:00:45
5391,2018-07-14 12:31:38,2018-07-15 09:08:49
5588,2019-04-04 18:32:17,2019-04-05 04:20:43
5687,2019-05-15 13:27:05,2019-05-15 20:31:56
5689,2019-05-22 15:26:52,2019-05-22 17:56:43
5701,2019-06-05 07:32:15,2019-06-05 13:57:33
5701,2019-06-10 06:53:36,2019-06-10 11:23:41
5701,2019-06-21 04:40:44,2019-06-21 09:55:53
5698,2019-06-22 02:28:04,2019-06-22 17:28:19
5698,2019-06-23 06:43:27,2019-06-23 12:55:24
5698,2019-07-01 16:12:37,2019-07-01 20:34:11
5700,2020-04-28 03:16:00,2020-04-28 13:31:41
5996,2020-06-13 08:23:06,2020-06-13 13:04:48
5697,2020-06-16 13:31:30,2020-06-16 20:29:19.999999
5694,2020-06-16 17:17:05,2020-06-16 21:51:25
5697,2020-06-21 07:07:16,2020-06-21 22:04:07
5993,2020-07-07 12:09:49,2020-07-07 16:45:33
5993,2020-07-11 20:41:28,2020-07-11 22:37:44
5594,2021-05-29 19:54:37,2021-05-29 20:33:26
5697,2021-06-03 19:50:07,2021-06-04 02:18:21
7047,2021-06-16 11:25:44,2021-06-16 13:05:09
7058,2022-04-13 19:21:02,2022-04-13 20:28:33.999999
7062,2022-06-04 07:12:56,2022-06-04 13:02:02
7062,2022-06-05 00:01:54,2022-06-05 10:58:34
7062,2022-06-14 06:32:15,2022-06-14 12:47:57
7086,2022-06-26 07:23:25,2022-06-26 11:01:49
7036,2022-07-08 02:51:51,2022-07-08 04:48:07.999999
7086,2022-07-08 19:08:30,2022-07-08 19:56:28
7036,2022-07-08 19:17:44,2022-07-08 22:31:21
7055,2022-07-14 13:20:57,2022-07-14 15:38:44
7086,2022-07-16 05:28:49,2022-07-16 08:46:40
7086,2022-07-16 05:28:49,2022-07-16 08:41:52
7086,2022-07-25 08:16:08,2022-07-25 16:04:34
